Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",165.989000,-71.805800,45.000000,top
"C2","0.1uF","C_0402_1005Metric",155.092400,-77.927200,180.000000,top
"C3","0.1uF","C_0402_1005Metric",166.471600,-77.597000,0.000000,top
"C4","0.1uF","C_0402_1005Metric",164.515800,-71.907400,90.000000,top
"C5","0.1uF","C_0402_1005Metric",165.862000,-73.304400,0.000000,top
"C6","0.1uF","C_0402_1005Metric",155.829000,-73.126600,180.000000,top
"C7","0.1uF","C_0402_1005Metric",162.864800,-67.995800,90.000000,top
"C8","0.1uF","C_0402_1005Metric",163.144200,-84.009800,-90.000000,top
"C9","0.1uF","C_0402_1005Metric",161.899600,-68.656200,90.000000,top
"C10","1uF","C_0402_1005Metric",164.414200,-84.582000,-90.000000,top
"C11","0.1uF","C_0402_1005Metric",163.423600,-71.272400,90.000000,top
"C12","0.1uF","C_0402_1005Metric",160.375600,-68.707000,90.000000,top
"C13","10uF","C_0603_1608Metric",161.086800,-61.849000,180.000000,top
"C14","10uF","C_0603_1608Metric",156.133800,-57.683400,180.000000,top
"C15","33pF","C_0402_1005Metric",157.861000,-86.349200,-90.000000,top
"C16","33pF","C_0402_1005Metric",163.144200,-86.067200,90.000000,top
"C17","0.1uF","C_0402_1005Metric",157.048200,-66.167000,90.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",160.650000,-49.750000,180.000000,top
"J2","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",151.760000,-48.620000,0.000000,top
"J3","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",169.540000,-48.620000,0.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",158.110000,-96.640000,90.000000,top
"R1","5.1K","R_0402_1005Metric",159.512000,-55.549800,180.000000,top
"R2","5.1K","R_0402_1005Metric",161.950400,-55.983600,-90.000000,top
"R3","27","R_0402_1005Metric",161.348800,-71.304400,-90.000000,top
"R4","27","R_0402_1005Metric",162.348800,-71.304400,-90.000000,top
"R5","1K","R_0402_1005Metric",161.518600,-83.476400,180.000000,top
"R6","10K","R_0402_1005Metric",155.524200,-66.573400,180.000000,top
"R7","1K","R_0402_1005Metric",159.969200,-64.795400,-90.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",156.497600,-63.042800,0.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",160.650000,-76.750000,0.000000,top
"U2","MCP1700x-330xxTT","SOT-23",160.869500,-59.105800,90.000000,top
"U3","W25Q16JVUXIQ TR","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",156.454500,-68.358100,0.000000,top
"Y1","12 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",160.510400,-85.977400,180.000000,top
