Designator,Mid X,Mid Y,Rotation,Layer
C1,165.989,-71.8058,45.0,top
C10,164.4142,-84.582,270.0,top
C11,163.4236,-71.2724,90.0,top
C12,160.3756,-68.707,90.0,top
C13,161.0868,-61.849,180.0,top
C14,156.1338,-57.6834,180.0,top
C15,157.861,-86.3492,270.0,top
C16,163.1442,-86.0672,90.0,top
C17,157.0482,-66.167,90.0,top
C2,155.0924,-77.9272,180.0,top
C3,166.4716,-77.597,0.0,top
C4,164.5158,-71.9074,90.0,top
C5,165.862,-73.3044,0.0,top
C6,155.829,-73.1266,180.0,top
C7,162.8648,-67.9958,90.0,top
C8,163.1442,-84.0098,270.0,top
C9,161.8996,-68.6562,90.0,top
J1,160.65,-49.75,180.0,top
J2,151.76,-72.75,0.0,top
J3,169.54,-72.75,0.0,top
J4,160.65,-96.64,90.0,top
R1,159.512,-55.5498,180.0,top
R2,161.9504,-55.9836,270.0,top
R3,161.3488,-71.3044,270.0,top
R4,162.3488,-71.3044,270.0,top
R5,161.5186,-83.4764,180.0,top
R6,155.5242,-66.5734,180.0,top
R7,159.9692,-64.7954,270.0,top
SW1,156.4976,-63.0428,0.0,top
U1,160.65,-76.75,90.0,top
U2,160.8695,-59.1058,270.0,top
U3,156.4545,-68.3581,0.0,top
Y1,160.5104,-85.9774,180.0,top
